НЕПОЛУЧЕННЫХ БАТЧЕЙ: 0

ИТОГО В WB: 1683 шт   |   ДОСТУПНО У НАС: 1843 шт

=== 1. WB ПРОДАЁТ, А У НАС НЕТ — 18 позиций, 606 шт ===
    (именно отсюда берутся заказы, которые нечем собрать)
     225  P116-1_слип                 размеры 36:63, 40:51, 39:49, 37:39, 42:15, 38:8
     112  V286-20                     размеры 40:55, 39:35, 38:22
     109  2001-9_белый                размеры 39:40, 40:35, 35:34
      99  V286-10_ коричневый         размеры 40:40, 39:38, 38:21
      61  V286-2                      размеры 39:35, 40:16, 38:10

=== 2. ЛЕЖИТ У НАС, А В WB НУЛЬ — 68 позиций, 453 шт ===
      92  6720-6A (6731-9А)
      52  6720-5A
      51  6720-6T (6731-9T)
      40  6021-3K
      40  6720-8T (6731-11Т)
      20  2097-3B
      18  6720-8A ( 6731-11A )
      16  6731-1A
      15  2095-5B
      10  2093-4D
      10  2739-2Н
      10  6021-5H
      10  2090-2D
      10  2090-3B
      10  2739-2A
      10  2739-2W
      10  2739-2R
       9  6020-1A
       5  2721-2H
       5  2096-3C
       5  2721-2P
       5  2094-3A

=== 3. ЕСТЬ И ТАМ И ТАМ — 223 позиций ===
артикул                     разм   в WB  у нас  разница
6021-2A                       27      5      5       +0
2097-4С                       31      5      5       +0
2092-1B                       31      5      5       +0
2097-4B                       31      5      5       +0
2721-2H                       30      5      5       +0
2093-4A                       33      5      5       +0
2097-4B                       36      5      5       +0
2093-3A                       31      5      5       +0
2721-2H                       31      5      5       +0
2093-4A                       34      5      5       +0
2097-3B                       31      5      5       +0
6020-2H                       30      5      5       +0
2094-3A                       31      5      5       +0
2095-5B                       31      5      5       +0
2721-4F                       26      5      5       +0
2721-4A                       31      5      5       +0
6020-4A                       26      5      5       +0
2721-2A                       26      5      5       +0
2721-2A                       31      5      5       +0
6021-4A                       29     10     10       +0
6021-4A                       27      5      5       +0
6021-4A                       28     10     10       +0
6021-5B                       26      5      5       +0
6021-4A                       26      5      5       +0

=== 4. РАЗБИВКА «WB продаёт, у нас нет» ПО СКЛАДАМ WB ===
   Фулфилмент ПакДрайв                    всего   395, из них без нашего остатка   395
   ВельветБокс_Краснодар                  всего    51, из них без нашего остатка    51
   ВельветБокс_Казань                     всего    50, из них без нашего остатка    50
   ВельветБокс_Вешки                      всего    39, из них без нашего остатка    39
   ВельветБокс_БД                         всего    38, из них без нашего остатка    38
   ВельветБокс_Екб                        всего    20, из них без нашего остатка    20
   ВельветБокс_Подольск                   всего    13, из них без нашего остатка    13
   ФФ Империя Львов_Кавказский б.         всего  1077, из них без нашего остатка     0
